stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
104116,Royal Dornoch at Fairways,49.34977,-124.39904,0,104116
104118,Royal Dornoch at Troon,49.3528,-124.40332,0,104118
104119,Country Club at Fairways,49.35116,-124.40506,0,104119
104120,Hwy 19A at Milner Gardens,49.35364,-124.41508,0,104120
104121,Hwy 19A at Qualicum Rd,49.35568,-124.42137,0,104121
104122,Hwy 19A at Hall Rd,49.35639,-124.42514,0,104122
104123,Hemsworth ACR Quatsino Rd,49.35547,-124.42823,0,104123
104124,Hemsworth at Dogwood Rd,49.35329,-124.42828,0,104124
104125,Dogwood at Qualicum Rd,49.35309,-124.42117,0,104125
104127,Qualicum at Chester Rd,49.34988,-124.42089,0,104127
110354,Memorial at Fern Rd W,49.34636,-124.44179,0,110354
110064,Bruce at 4th St,49.15862,-123.94961,0,110064
110065,Bruce at Albion,49.15666,-123.94969,0,110065
110066,5th St at Georgia,49.15524,-123.95187,0,110066
110068,5th St at Hillcrest,49.15524,-123.95956,0,110068
110069,Wakesiah at Queen,49.15745,-123.96105,0,110069
110072,Wakesiah at Foster,49.16129,-123.961,0,110072
110073,Wakesiah at Beaconsfield,49.16487,-123.96096,0,110073
110074,Wakesiah at 160 block,49.16812,-123.96094,0,110074
110075,Wakesiah at 120 block,49.16989,-123.96092,0,110075
110077,Bowen at East Wellington,49.18091,-123.97845,0,110077
110078,Bowen at Townsite,49.18269,-123.98093,0,110078
110079,Bowen at James,49.1849,-123.98347,0,110079
109830,Uplands at McRobb,49.23904,-124.03884,0,109830
109831,Uplands 6100 block,49.23663,-124.03725,0,109831
109832,Uplands 5480 block,49.23367,-124.0373,0,109832
109833,Uplands at Parkwood,49.23127,-124.03726,0,109833
109834,Uplands at Turner,49.22603,-124.03547,0,109834
109836,Uplands at Edgewater,49.22208,-124.03109,0,109836
109837,Uplands 4590 block,49.22,-124.0279,0,109837
109838,Uplands at Songbird,49.21889,-124.02469,0,109838
109839,Uplands at Butternut,49.21849,-124.01983,0,109839
110451,Uplands at Littleford,49.21692,-124.01443,0,110451
110500,Wakesiah at 110 block,49.17002,-123.9611,0,110500
110498,Wakesiah 170 block,49.16779,-123.9611,0,110498
110452,Uplands at Long Lake,49.21684,-124.0088,0,110452
110453,Uplands at Sunrise,49.21618,-124.0055,0,110453
110454,Uplands 3450 block,49.21553,-124.00102,0,110454
104174,Emerald Dr AT Uplands Dr,49.21351,-123.99963,0,104174
110456,Emerald at Crystal Plc,49.21197,-124.0024,0,110456
109845,Ross at Emerald,49.21046,-124.00298,0,109845
109847,Country Club Exch Bay G,49.20642,-124.00311,0,109847
110482,Wakesiah at Queen,49.15781,-123.96125,0,110482
110483,5th St at Hillcrest,49.15514,-123.95953,0,110483
110484,5th St at Calverley,49.15511,-123.95456,0,110484
110485,5th St at Shepherd,49.15508,-123.95088,0,110485
109775,Front at Museum,49.16632,-123.93518,0,109775
109776,Front at Church,49.16843,-123.93672,0,109776
109972,Comox at Wallace,49.17027,-123.94293,0,109972
109973,Comox at Prideaux,49.17036,-123.94522,0,109973
109974,Comox at Kennedy,49.17052,-123.94907,0,109974
109975,Bowen at Howard,49.17121,-123.95472,0,109975
109976,Bowen at Wakesiah,49.1732,-123.96024,0,109976
109980,Waddington at St George,49.18109,-123.96331,0,109980
109981,Waddington at Oakley,49.18346,-123.96259,0,109981
109982,Dufferin at Seafield,49.18443,-123.96719,0,109982
109983,Dufferin at Boundary,49.18327,-123.97181,0,109983
109984,Boundary at Nightingale,49.18578,-123.97219,0,109984
109771,Fitzwilliam at Wesley,49.16553,-123.94113,0,109771
110505,Bastion at Skinner,49.16629,-123.93754,0,110505
110009,Metral at Enterprise,49.23115,-124.04409,0,110009
110010,Metral 6300 block,49.2288,-124.04358,0,110010
110011,Metral at Emporer,49.225,-124.04302,0,110011
110012,Metral at Turner,49.22142,-124.04128,0,110012
110013,Metral at Bergen Op Zoom,49.21771,-124.03703,0,110013
110014,Metral at Somerset,49.21544,-124.03139,0,110014
109874,Victoria at Albert,49.16358,-123.93592,0,109874
110091,Albert at Dunsmuir,49.16274,-123.93773,0,110091
110092,Albert at Selby,49.16168,-123.9391,0,110092
110094,Pine at Durham,49.15943,-123.94619,0,110094
109754,Jingle Pot at Calder,49.16921,-123.98713,0,109754
109755,Westwood at Rockwood,49.16937,-123.99121,0,109755
110063,Fitzwilliam at Machleary,49.16371,-123.94891,0,110063
110501,Bowen at Cienar,49.201,-123.99986,0,110501
110489,107th St at Victoria,49.20714,-124.00782,0,110489
110090,Norwell at 107th St,49.20771,-124.00655,0,110090
110514,Country Club Exch Bay C,49.20689,-124.00419,0,110514
110444,Uplands at Departure Bay,49.20994,-123.99718,0,110444
110445,Uplands at Mexicana,49.2115,-123.99806,0,110445
110446,Uplands at Villa,49.21321,-123.99845,0,110446
110447,Uplands 3510 block,49.21607,-124.00273,0,110447
110449,Uplands at Long Lake,49.21693,-124.00883,0,110449
110450,Uplands at Bournemouth,49.21702,-124.01263,0,110450
109811,Uplands at Stonewood,49.21734,-124.01707,0,109811
109812,Uplands at Butternut,49.21842,-124.01926,0,109812
109813,Uplands at Songbird,49.21896,-124.02422,0,109813
109814,Uplands at Primrose,49.22009,-124.02752,0,109814
109815,Uplands at Edgewater,49.22217,-124.03081,0,109815
109816,Uplands at Turner,49.22641,-124.03549,0,109816
109817,Uplands at Parkwood,49.23134,-124.03705,0,109817
109818,Uplands at Leah,49.23482,-124.03699,0,109818
109819,Uplands at Ocean Walk,49.23642,-124.0369,0,109819
109820,Uplands at McRobb,49.23865,-124.03823,0,109820
109821,Dover at Blueback,49.24157,-124.04064,0,109821
109823,Dover at Lewis,49.24166,-124.046,0,109823
109824,Dover at Harrier,49.24174,-124.04935,0,109824
